YEAR 11yrCYCLE 11yrCYCLE+BKGRND
1610 1365.8477 1364.7338
1611 1365.8342 1364.7075
1612 1366.2461 1365.0675
1613 1366.365 1365.1611
1614 1366.4451 1365.2197
1615 1366.1591 1364.9456
1616 1365.7358 1364.5469
1617 1365.6107 1364.4189
1618 1365.6038 1364.3983
1619 1365.7001 1364.4717
1620 1365.7001 1364.4574
1621 1365.7001 1364.4431
1622 1365.7001 1364.429
1623 1365.7001 1364.4147
1624 1365.6621 1364.366
1625 1365.8926 1364.5509
1626 1365.7816 1364.439
1627 1365.7106 1364.3447
1628 1365.7577 1364.2544
1629 1365.7261 1364.1193
1630 1365.5946 1363.9214
1631 1365.6255 1363.8699
1632 1365.5946 1363.8304
1633 1365.6951 1363.92
1634 1365.6157 1363.8397
1635 1365.6249 1363.833
1636 1365.5946 1363.7925
1637 1365.5946 1363.7799
1638 1366.0768 1364.2039
1639 1366.1344 1364.2444
1640 1365.7001 1363.8243
1641 1365.5946 1363.6943
1642 1365.9277 1363.9756
1643 1365.7183 1363.7336
1644 1365.6761 1363.6429
1645 1365.5946 1363.5607
1646 1365.5946 1363.5587
1647 1365.5946 1363.5565
1648 1365.5946 1363.5491
1649 1365.5946 1363.5402
1650 1365.5946 1363.5364
1651 1365.5946 1363.5342
1652 1365.6227 1363.5597
1653 1365.601 1363.5381
1654 1365.5995 1363.5115
1655 1365.5981 1363.4792
1656 1365.5989 1363.473
1657 1365.5961 1363.4619
1658 1365.5946 1363.446
1659 1365.5946 1363.4384
1660 1365.6086 1363.4501
1661 1365.6002 1363.4434
1662 1365.5946 1363.4386
1663 1365.5946 1363.4386
1664 1365.5946 1363.4391
1665 1365.5946 1363.4395
1666 1365.5946 1363.4395
1667 1365.5946 1363.4385
1668 1365.5946 1363.4377
1669 1365.5946 1363.4376
1670 1365.5946 1363.4374
1671 1365.601 1363.4429
1672 1365.5974 1363.4396
1673 1365.5946 1363.4374
1674 1365.5961 1363.4387
1675 1365.5946 1363.4365
1676 1365.6073 1363.4467
1677 1365.5967 1363.4366
1678 1365.5961 1363.436
1679 1365.5946 1363.4348
1680 1365.6002 1363.4401
1681 1365.5946 1363.4349
1682 1365.5946 1363.4349
1683 1365.5946 1363.4349
1684 1365.6045 1363.444
1685 1365.5946 1363.4355
1686 1365.5989 1363.4395
1687 1365.5953 1363.4368
1688 1365.5981 1363.4414
1689 1365.5961 1363.4427
1690 1365.5946 1363.4451
1691 1365.5946 1363.4508
1692 1365.5946 1363.4561
1693 1365.5946 1363.458
1694 1365.5946 1363.4589
1695 1365.5953 1363.4592
1696 1365.5946 1363.4583
1697 1365.5946 1363.4584
1698 1365.5946 1363.459
1699 1365.5946 1363.4604
1700 1365.5974 1363.4646
1701 1365.5981 1363.4701
1702 1365.5989 1363.4794
1703 1365.6135 1363.5057
1704 1365.6234 1363.5348
1705 1365.6333 1363.5662
1706 1365.6171 1363.5676
1707 1365.6318 1363.5887
1708 1365.6143 1363.5829
1709 1365.6058 1363.5895
1710 1365.5974 1363.6195
1711 1365.5946 1363.666
1712 1365.5946 1363.688
1713 1365.5967 1363.7062
1714 1365.601 1363.7542
1715 1365.6199 1363.8035
1716 1365.6586 1363.847
1717 1365.7177 1363.9092
